"date","User full name","max(time) - min(time)","Active hours","Grade"
"176",2022-09-28,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",10684,2.96777777777778,"10th"
"177",2022-10-05,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",185,0.0513888888888889,"10th"
"178",2022-10-12,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",1111,0.308611111111111,"10th"
"179",2022-10-19,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",2903,0.806388888888889,"10th"
"180",2022-10-30,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",5394,1.49833333333333,"10th"
"181",2022-11-02,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",2743,0.761944444444444,"10th"
"182",2022-11-06,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",1632,0.453333333333333,"10th"
"183",2022-11-09,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",2947,0.818611111111111,"10th"
"184",2022-11-14,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",1979,0.549722222222222,"10th"
"185",2022-11-20,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",8872,2.46444444444444,"10th"
"186",2022-11-21,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",2761,0.766944444444444,"10th"
"187",2022-11-23,"39c0998ea93c8d091f85932ddb2f0e74cce50afc3fda3fc7579a1d0644a2f47c",1693,0.470277777777778,"10th"
"188",2022-09-15,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",16,0.00444444444444444,"10th"
"189",2022-09-22,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",45789,12.7191666666667,"10th"
"190",2022-09-26,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",11198,3.11055555555556,"10th"
"191",2022-09-30,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",28249,7.84694444444444,"10th"
"192",2022-10-01,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",8366,2.32388888888889,"10th"
"193",2022-10-07,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",22725,6.3125,"10th"
"194",2022-10-11,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",4934,1.37055555555556,"10th"
"195",2022-10-13,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",7448,2.06888888888889,"10th"
"196",2022-10-14,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",22799,6.33305555555556,"10th"
"197",2022-11-04,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",3889,1.08027777777778,"10th"
"198",2022-11-17,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",53,0.0147222222222222,"10th"
"199",2022-11-23,"3cd3911e786fed6270feb65c2c457421d9da0efd733b8d2bd2cd816fc57d7111",10419,2.89416666666667,"10th"
